title,DOI,abstract,release_date,authors,R0_sentence,R0_value,R0_location,bad,Spot check/resolve
Modeling COVID-19: Forecasting and analyzing the dynamics of the outbreak in Hubei and Turkey,10.1101/2020.04.11.20061952,"As the pandemic of Coronavirus Disease 2019 (COVID-19) rages throughout the world, accurate modeling of the dynamics thereof is essential. However, since the availability and quality of data varies dramatically from region to region, accurate modeling directly from a global perspective is difficult, if not altogether impossible. Nevertheless, via local data collected by certain regions, it is possible to develop accurate local prediction tools, which may be coupled to develop global models. In this study, we analyze the dynamics of local outbreaks of COVID-19 via a coupled system of ordinary differential equations (ODEs). Utilizing the large amount of data available from the ebbing outbreak in Hubei, China as a testbed, we estimate the basic reproductive number, R0 of COVID-19 and predict the total cases, total deaths, and other features of the Hubei outbreak with a high level of accuracy. Through numerical experiments, we observe the effects of quarantine, social distancing, and COVID-19 testing on the dynamics of the outbreak. Using knowledge gleaned from the Hubei outbreak, we apply our model to analyze the dynamics of outbreak in Turkey. We provide forecasts for the peak of the outbreak and the total number of cases/deaths in Turkey, for varying levels of social distancing, quarantine, and COVID-19 testing.",4/15/2020,"['Batman University', 'Michigan State University', 'University of Tennessee']",The basic reproductive number 5.2,5.2,,,
An epidemiologic profile of COVID-19 patients in Vietnam,10.1101/2020.04.10.20061226,"Background and Aim. There is a paucity of data on the COVID-19 pandemic in Vietnam. In this paper, we sought to provide an epidemiologic description of patients who were infected with SARS-Cov-2 in Vietnam. Methods. Data were abstracted from the wikipedia's COVID-19 information resource and Johns Hopkins University Dashboard. Demographic data and treatment status were obtained for each patient in each day. The coverage period was from 23/1/2020 to 10/4/2020. Descriptive analyses of incident cases were stratified by gender and age group. The estimation of the reproduction ratio was done with a bootstrap method using the R statistical environment. Results. During the coverage period, Vietnam has recorded 257 cases of COVID-19. Approximately 54% of the cases were women. The median age of patients was 30 years (range: 3 months to 88 years), with 78% of patients aged 49 or younger. About 66% (n = 171) of patients were overseas tourists (20%) and Vietnamese students or workers returning from overseas (46%). Approximately 57% (n = 144) of patients have been recovered and discharged from hospitals. There have been no mortality. The reproduction ratio was estimated to range between 0.95 and 1.24. Conclusion. These data indicate that a majority of COVID-19 patients in Vietnam was imported cases in overseas tourists and young students and workers who had returned from overseas.",4/15/2020,"['University of Technology, Sydney, Australia', 'Garvan Institute of Medical Research']","he estimated reproduction ratio for the epidemic was 1.08,",1.08,,,
Human agency and infection rates: implications for social distancing during epidemics,10.1101/2020.04.11.20062042,"Social distancing is an important measure in controlling epidemics. This paper presents a simple theoretical model focussed on the implications of the wide range in interaction rates between individuals, both within the workplace and in the social setting. The model is based on well-mixed populations and so is not intended for studying geographic spread. The model shows that epidemic growth rate is largely determined by the upper interactivity quantiles of society, implying that the most efficient methods of epidemic control are interaction capping approaches rather than overall reductions in interaction. The theoretical model can also be applied to look at the dynamics of epidemic progression under various scenarios. The theoretical model suggests that with no intervention herd immunity would be achieved with a lower overall infection rate than if variation in interaction rate is ignored, because by this stage almost all the most interactive members of society would have had the infection; however the overall mortality with such an approach is very high. Scenarios for mitigation and suppression suggest that, by using interactivity capping, it should be possible to control an epidemic without extreme sanctions on the majority of the population if R0 of the uncontrolled infection is 2.4. However to control the infection rate to a specific level will always require the switching on and off of measures and for this reason eradication is likely to be a less costly policy in the long run. While social distancing alone can be used for eradication it is not be a good mechanism on its own to prevent reinfection. The use of robust testing, quarantining, and contact tracing would strengthen any social distancing measures, speed up eradication, and be a better tool for prevention of infection or reinfection.",4/15/2020,['University of Oxford'],Unless otherwise stated an R0 of 2.4 will be used,2.4,,,
Household Secondary Attack Rate of COVID-19 and Associated Determinants,10.1101/2020.04.11.20056010,"Background: As of April 2, 2020, the global reported number of COVID-19 cases has crossed over 1 million with more than 55,000 deaths. The household transmissibility of SARS-CoV-2, the causative pathogen, remains elusive. Methods: Based on a comprehensive contact-tracing dataset from Guangzhou, we estimated both the population-level effective reproductive number and individual-level secondary attack rate (SAR) in the household setting. We assessed age effects on transmissibility and the infectivity of COVID-19 cases during their incubation period. Results: A total of 195 unrelated clusters with 212 primary cases, 137 nonprimary (secondary or tertiary) cases and 1938 uninfected close contacts were traced. We estimated the household SAR to be 13.8% (95% CI: 11.1-17.0%) if household contacts are defined as all close relatives and 19.3% (95% CI: 15.5-23.9%) if household contacts only include those at the same residential address as the cases, assuming a mean incubation period of 4 days and a maximum infectious period of 13 days. The odds of infection among children (<20 years old) was only 0.26 (95% CI: 0.13-0.54) times of that among the elderly ([&ge;]60 years old). There was no gender difference in the risk of infection. COVID-19 cases were at least as infectious during their incubation period as during their illness. On average, a COVID-19 case infected 0.48 (95% CI: 0.39-0.58) close contacts. Had isolation not been implemented, this number increases to 0.62 (95% CI: 0.51-0.75). The effective reproductive number in Guangzhou dropped from above 1 to below 0.5 in about 1 week. Conclusion: SARS-CoV-2 is more transmissible in households than SARS-CoV and MERS-CoV, and the elderly [&ge;]60 years old are the most vulnerable to household transmission. Case finding and isolation alone may be inadequate to contain the pandemic and need to be used in conjunction with heightened restriction of human movement as implemented in Guangzhou.",4/15/2020,"['Guangzhou Center for Disease Control and Prevention', 'University of Florida', 'Shandong University', 'Ohio State University', 'Beijing Institute of Microbiology and Epidemiology']","We estimated the local reproductive number to be relatively low, around 0.48",0.48,,,
Further analysis of the impact of distancing upon the COVID-19 pandemic,10.1101/2020.04.14.20048025,"This paper questions various claims from the paper ""Social distancing strategies for curbing the COVID-19 epidemic"" by Kissler, Tedijanto, Lipsitch, and Grad: most importantly, the claim that China's ""intense"" distancing measures achieved only a 60% reduction in R0.",4/16/2020,"['University of Illinois at Chicago, and Ruhr University Bochum']",With an early epidemic value of R0 of 2.5,2.5,,,
Impact of population mask wearing on Covid-19 post lockdown,10.1101/2020.04.13.20063529,"COVID-19, caused by SARS-CoV2 is a rapidly spreading global pandemic. Although precise transmission routes and dynamics are unknown, SARS-CoV2 is thought primarily to spread via contagious respiratory droplets. Unlike with SARS-CoV, maximal viral shedding occurs in the early phase of illness, and this is supported by models that suggest 40-80% of transmission events occur from pre- and asymptomatic individuals. One widely-discussed strategy to limit transmission of SARS-CoV2, particularly from presymptomatic individuals, has been population-level wearing of masks. Modelling for pandemic influenza suggests some benefit in reducing total numbers infected with even 50% mask-use. COVID-19 has a higher hospitalization and mortality rate than influenza, and the impacts on these parameters, and critically, at what point in the pandemic trajectory mask-use might exert maximal benefit are completely unknown. We derived a simplified SIR model to investigate the effects of near-universal mask-use on COVID-19 assuming 8 or 16% mask efficacy. We decided to model, in particular, the impact of masks on numbers of critically-ill patients and cumulative mortality, since these are parameters that are likely to have the most severe consequences in the COVID-19 pandemic. Whereas mask use had a relatively minor benefit on critical-care and mortality rates when transmissibility (Reff) was high, the reduction on deaths was dramatic as the effective R approached 1, as might be expected after aggressive social-distancing measures such as wide-spread lockdowns. One major concern with COVID-19 is its potential to overwhelm healthcare infrastructures, even in resource-rich settings, with one third of hospitalized patients requiring critical-care. We incorporated this into our model, increasing death rates for when critical-care resources have been exhausted. Our simple model shows that modest efficacy of masks could avert substantial mortality in this scenario. Importantly, the effects on mortality became hyper-sensitive to mask-wearing as the effective R approaches 1, i.e. near the tipping point of when the infection trajectory is expected to revert to exponential growth, as would be expected after effective lockdown. Our model suggests that mask-wearing might exert maximal benefit as nations plan their post-lockdown strategies and suggests that mask-wearing should be included in further more sophisticated models of the current pandemic.",4/16/2020,"['Tsinghua University School of Medicine', 'Hebrew University of Jerusalem']",spreading with R of 2.2,2.2,,,
AN EPIDEMIOLOGICAL MODEL TO AID DECISION-MAKING FOR COVID-19 CONTROL IN SRI LANKA,10.1101/2020.04.11.20061481,"Background: Sri Lanka diagnosed its first local case of COVID-19 on 11 March 2020. The government acted swiftly to contain transmission, with extensive public health measures. At the end of 30 days, Sri Lanka had 197 cases, 54 recovered and 7 deaths; a staged relaxing of the lockdown is now underway. This paper proposes a theoretical basis for estimating the limits within which transmission should be constrained in order to ensure that the case load remains within the capacity of the health system. Methods: We used the Susceptible, Infected, Recovered (SIR) model to explore the number of new infections and estimate ICU bed requirement at different levels of R0 values after lockout. We developed a web-based application that enables visualization of cases and ICU bed requirements with time, with adjustable parameters that include: population exposed; proportion asymptomatic; number of active and recovered cases; infectious period; R0 or doubling time; proportion critically ill; available ICU beds; duration of ICU stay; and uncertainty of projection. Results: The three-day moving average of the caseload suggested two waves of transmission from Day 0 to 17 (R0=3.32, 95% CI 1.85 - 5.41) and from Day 18 - 30 (R=1.25, 95%CI: 0.93 - 1.63). We estimate that if there are 156 active cases with 91 recovered at the time of lockout, and R increases to 1.5 (doubling time 19 days), under the standard parameters for Sri Lanka, the ICU bed capacity of 300 is likely to be saturated by about 100 days days, signalled by 18 new infections (95% CI 15 - 22) on Day 14 after lockout. Conclusion: Our model suggests that to ensure that the case load remains within the available capacity of the health system after lockout, transmission should not exceed R=1.5. This model and the web-based application may be useful in other low and middle income countries which have similar constraints on health resources.",4/16/2020,"['Faculty of Medicine, University of Kelaniya, Sri Lanka', 'Faculty of Medical Sciences, University of Sri Jayewardenepura, Sri Lanka']","R0=3.32, ",3.32,,,
Severe underestimation of COVID-19 case numbers: effect of epidemic growth rate and test restrictions,10.1101/2020.04.13.20064220,"To understand the scope and development of the COVID-19 pandemic, knowledge of the number of infected persons is essential. Often, the number of ""confirmed cases"", which is based on positive RT-PCR test results, is regarded as a reasonable indicator. However, limited COVID-19 test capacities in many countries are restricting the amount of testing that can be done. This can lead to the implementation of testing policies that restrict access to COVID-19 tests, and to testing backlogs and delays. As a result, confirmed case numbers can be significantly lower than the actual number of infections, especially during rapid growth phases of the epidemic. This study examines the quantitative relation between infections and reported confirmed case numbers for two different testing strategies, ""limited"" and ""inclusive"" testing, in relation to the growth rate of the epidemic. The results indicate that confirmed case numbers understate the actual number of infections substantially; during rapid growth phases where the daily growth rate can reach or exceed 30%, as has been seen in many countries, the confirmed case numbers under-report actual infections by up to 50 to 100-fold.",4/17/2020,['CodonCode Corporation'],,"4.0, 3.5",,,
Expected impact of lockdown in Ile-de-France and possible exit strategies,10.1101/2020.04.13.20063933,"More than half of the global population is currently under strict forms of social distancing, with more than 90 countries in lockdown, including France. Estimating the expected impact of the lockdown, and the potential effectiveness of different exit strategies is critical to inform decision makers on the management of the COVID-19 health crisis. We use a stochastic age-structured transmission model integrating data on age profile and social contacts in the Ile-de-France region to (i) assess the current epidemic situation, (ii) evaluate the expected impact of the lockdown implemented in France on March 17, 2020, and (iii) estimate the effectiveness of possible exit strategies. The model is calibrated on hospital admission data of the region before lockdown and validated on syndromic and virological surveillance data. Different types and durations of social distancing interventions are simulated, including a progressive lifting of the lockdown targeted on specific classes of individuals (e.g. allowing a larger proportion of the population to go to work, while protecting the elderly), and large-scale testing. We estimate the basic reproductive number at 3.0 [2.8, 3.2] (95% confidence interval) prior to lockdown and the population infected by COVID-19 as of April 5 to be in the range 1% to 6%. The average number of contacts is predicted to be reduced by 80% during lockdown, leading to a substantial reduction of the reproductive number (RLD = 0.68 [0.62-0.73]). Under these conditions, the epidemic curve reaches ICU system capacity and slowly decreases during lockdown. Lifting the lockdown with no exit strategy would lead to a second wave largely overwhelming the healthcare system. Extensive case-finding, testing and isolation are required to envision social distancing strategies that gradually relax current constraints (larger fraction of individuals going back to work, progressive reopening of activities), while keeping schools closed and seniors isolated. As France faces the first wave of COVID-19 pandemic in lockdown, intensive forms of social distancing are required in the upcoming months due to the currently low population immunity. Extensive case-finding and isolation would allow the partial release of the socio-economic pressure caused by extreme measures, while avoiding healthcare demand exceeding capacity. Response planning needs to urgently prioritize the logistics and capacity for these interventions.",4/17/2020,"['INSERM, Sorbonne Universite', 'INSERM, Sorbonne Universite, Orange Experience Design Lab', 'Sorbonne Universite', 'INSERM']",We estimate the basic reproductive number at 3.0,3,,,
Partial unlock caseload management for COVID-19 can save 1-2 million lives worldwide,10.1101/2020.04.13.20064139,"Objectives: We study partial unlock or reopening interaction with seasonal effects in a managed epidemic to quantify overshoot effects on small and large unlock steps and discover robust strategies for reducing overshoot. Methods: We simulate partial unlock of social distancing for epidemics over a range of replication factor, immunity duration and seasonality factor for strategies targeting immunity thresholds using overshoot optimization. Results: Seasonality change must be taken into account as one of the steps in an easing sequence, and a two step unlock, including seasonal effects, minimizes overshoot and deaths. It may cause undershoot, which causes rebounds and assists survival of the pathogen. Conclusions: Partial easing levels, even low levels for economic relief while waiting on a vaccine, have population immunity thresholds based on the reduced replication rates and may experience overshoot as well. We further find a two step strategy remains highly sensitive to variations in case ratio, replication factor, seasonality and timing. We demonstrate a three or more step strategy is more robust, and conclude that the best possible approach minimizes deaths under a range of likely actual conditions which include public response.",4/17/2020,"['Shuler Research (former NASA JSC)', 'Shuler Research']",An initial value of R0=2.5,2.5,,,
The Potential role of Particulate Matter in the Spreading of COVID-19 in Northern Italy: First Evidence-based Research Hypotheses,10.1101/2020.04.11.20061713,"Background: An epidemic model based only on respiratory droplets and close contact could not fully explain the regional differences in the spread of the recent severe acute respiratory syndrome COVID-19 in Italy, which was fast and dramatic only in Lombardy and Po Valley. On March 16th 2020, we presented a Position Paper proposing a research hypothesis concerning the association between higher mortality rates due to COVID-19 observed in Northern Italy and the peaks of particulate matter concentrations, frequently exceeding the legal limit of 50 micrograms/m3 as PM10 daily average Methods: To assess environmental factors related to the spread of the COVID-19 in Italy from February 24th to March 13th (the date when the lockdown has been imposed over Italy), official daily data relevant to ambient PM10 levels were collected from all Italian Provinces between February 9th and February 29th , taking into account the average time (estimated in 17 days) elapsed between the initial infection and the recorded COVID positivity. In addition to the number of exceedances of PM10 daily limit value, we considered also population data and daily travelling information per each Province. Results. PM10 daily limit value exceedances appear to be a significant predictor (p <0.001) of infection in univariate analyses. Less polluted Provinces had a median of 0.03 infection cases over 1000 residents, while most polluted Provinces had a median of 0.26 cases over 1000 residents. Thirty-nine out of 41 Northern Italian Provinces resulted in the category with highest PM10 levels, while 62 out of 66 Southern Provinces presented low PM10 concentrations (p<0.001). In Milan, the average growth rate before the lockdown was significantly higher than Rome (0.34 vs. 0.27 per day, with a doubling time of 2.0 days vs. 2.6), suggesting a basic reproductive number R0>6.0, comparable with the highest values estimated for China.",4/17/2020,"['Univerisity of Bologna', 'University of Bologna', 'University of Bari', 'University of Trieste', 'Environmental Research Division, TCR TECORA, Milan, Italy', 'Water & Life Lab Groupe Carso, Bergamo', 'Italian Society of Environmental Medicine, Milan']","(R0), estimated by the researchers, was 5.7, and suggests a R0 value higher than 6.0 quite similar to the
epidemic transmission by airborne droplets","5.7, 6.0",,,
Estimating the last day for COVID-19 outbreak in mainland China,10.1101/2020.04.14.20064824,"Our main aim is to estimate the last day for COVID-19 outbreak in mainland China. We developed mathematical models to predict reasonable bounds on the date of end of the COVID-19 epidemics in mainland China with strong quarantine and testing measures for a sufficiently long time. We used reported data in China from January 20, 2020 to April 9, 2020. We firstly used a deterministic approach to obtain a formula to compute the probability distribution of the extinction date by combining the models and continuous-time Markov processes. Then we present the individual based model (IMB) simulations to compare the result by deterministic approach and show the absolute difference between the estimated cumulative probability distribution computed by simulations and formula. We provide the predictions of the last day of epidemic for different fractions f of asymptomatic infectious that become reported symptomatic infectious.",4/17/2020,"['University of Bordeaux', 'Beijing Normal University']",,,,!!!,
"Basic estimation-prediction techniques for Covid-19, and a prediction for Stockholm",10.1101/2020.04.15.20066050,"An important task during the current Covid-19 pandemic is to predict the remainder of the epidemic, both without preventive measures and with. In the current paper we address this question using a simple estimation-prediction method. The input is the observed initial doubling time and a known value of R0. The simple General epidemic model is then fitted, and time calibration to calendar time is done using the observed number of case fatalities, together with estimates of the time between infection to death and the infection fatality risk. Finally, predictions are made assuming no change of behaviour, as well as for the situation where preventive measures are put in place at one specific time-point. The overall effect of the preventive measures is assumed to be known, or else estimated from the observed increased doubling time after preventive measures are put in place. The predictions are highly sensitive to the doubling times without and with preventive measures, sensitive to R0, but less sensitive to the estimates used for time-calibration: observed number of case fatalities, typical time between infection and death, and the infection fatality risk. The method is applied to the urban area of Stockholm, and predictions show that the peak of infections appear in mid-April and infections start settling in May.",4/17/2020,['Stockholm University'],nd we assume that R0=2.5 this being a common value,2.5,,,
Optimal Allocation of COVID-19 Test Kits Among Accredited Testing Centers in the Philippines,10.1101/2020.04.14.20065201,"Testing is crucial for early detection, isolation, and treatment of coronavirus disease (COVID-19)-infected individuals. However, in resource-constrained countries such as the Philippines, test kits have limited availability. As of 12 April 2020, there are 11 testing centers in the country that have been accredited by the Department of Health (DOH) to conduct testing. In this paper, we determine the optimal percentage allocation of COVID-19 test kits among accredited testing centers in the Philippines that gives an equitable chance to all infected individuals to be tested. Heterogeneity in testing accessibility, population density of municipalities, and the capacity of testing facilities are included in the model. Our results showed that the range of optimal allocation per testing center are: Research Institute for Tropical Medicine (4.17%-6.34%), San Lazaro Hospital (14.65%-24.03%), University of the Philippines-National Institutes of Health (16.25%-44.80%), Lung Center of the Philippines (15.8%-26.40%), Baguio General Hospital Medical Center (0.58%-0.76%), The Medical City, Pasig City (5.96%-25.51%), St. Luke's Medical Center, Quezon City (1.09%-6.70%), Bicol Public Health Laboratory (0.06%-0.08%), Western Visayas Medical Center (0.71%-4.52%), Vicente Sotto Memorial Medical Center (1.02%-2.61%), and Southern Philippines Medical Center (approx 0.01%). If there will be changes in the number of testing centers, our model can still be used to modify the test kit allocation. Our results can serve as a guide to the authorities in distributing the COVID-19 test kits. These can also be used to determine the capacity of testing centers and the effects of increasing its number. The model can also be used for proposing additional number and location of new testing centers.",4/17/2020,['University of the Philippines Los Banos'],of COVID-19 in the country to be R0 = 2.5,2.5,,,
Analysis of the COVID-19 epidemic in french overseas department Mayotte based on a modified deterministic and stochastic SEIR model,10.1101/2020.04.15.20062752,"In order to anticipate a future trends in the development of the novel coronavirus COVID-19 epidemic starting early at march 13, in the french overseas department Mayotte, we study in this paper a deterministic and stochastic epidemic model through several possible states: susceptible, exposed, infected including symptomatics and asymptomatics cases, simple or mild removed, severe removed (including hospitalized) and death cases. We first fit the constant transmission rate parameter to the epidemic data in Mayotte during an early exponential growth phase using an algorithm with a package of software R and based on a Likewook Maximum estimator. Thus, after the intervention and control measures imposed by the gouvernement, we introduce a simple temporally varying and exponentially decreasing transmission rate with a control parameter. This allows us to understand wheter these interventions are having the desired impact of controlling the epidemic by pointing out some percentages to maintain control which is critical in Mayotte given the fragility of its health infrastructure and the significant fraction of the population without access to water.",4/17/2020,"['IMAG-Montpellier', 'French National Health Agency of Mayotte']","R0 for COVID-19 is in [2, 3] with a median of2.5",2.5,,,
Basic reproduction number of 2019 Novel Coronavirus Disease in Major Endemic Areas of China: A latent profile analysis,10.1101/2020.04.13.20060228,"Objective: The aim of the study is to analyze the latent class of basic reproduction number (R0) trend of 2019 novel coronavirus disease (COVID-19) in major endemic areas of China. Methods The provinces that reported more than 500 cases of COVID-19 till February 18, 2020 were selected as the major endemic area. The Verhulst model was used to fit the growth rate of cumulative confirmed cases. The R0 of COVID-19 was calculated using the parameters of severe acute respiratory syndrome (SARS) and COVID-19, respectively. The latent class of R0 was analyzed using a latent profile analysis model. Results The median R0 calculated from SARS and COVID-19 parameters were 1.84 - 3.18 and 1.74 - 2.91, respectively. The R0 calculated from the SARS parameters was greater than that of calculated from the COVID-19 parameters (Z = -4.782 - -4.623, P < 0.01). Both R0 can be divided into three latent classes. The initial value of R0 in class 1 (Shandong Province, Sichuan Province and Chongqing Municipality) was relatively low and decreases slowly. The initial value of R0 in class 2 (Anhui Province, Hunan Province, Jiangxi Province, Henan Province, Zhejiang Province, Guangdong Province and Jiangsu Province) was relatively high and decreases rapidly. Moreover, the initial value of R0 of class 3 (Hubei Province) was between that of class 1 and class 2, but the higher level of R0 lasts longer and decreases slowly. Conclusion The results indicated that overall trend of R0 has been falling with the strengthening of China's comprehensive prevention and control measures for COVID-19, however, presents regional differences.",4/17/2020,"['School of Public Health, Anhui Medical University', 'School of Health Service Management, Anhui Medical University']",1.74 - 2.91,2.325,,,
Estimation of airborne viral emission: quanta emission rate of SARS-CoV-2 for infection risk assessment,10.1101/2020.04.12.20062828,"Airborne transmission is a pathway of contagion that is still not sufficiently investigated despite the evidence in the scientific literature of the role it can play in the context of an epidemic. While the medical research area dedicates efforts to find cures and remedies to counteract the effects of a virus, the engineering area is involved in providing risk assessments in indoor environments by simulating the airborne transmission of the virus during an epidemic. To this end, virus air emission data are needed. Unfortunately, this information is usually available only after the outbreak, based on specific reverse engineering cases. In this work, a novel approach to estimate the viral load emitted by a contagious subject on the basis of the viral load in the mouth, the type of respiratory activity (e.g. breathing, speaking), respiratory physiological parameters (e.g. inhalation rate), and activity level (e.g. resting, standing, light exercise) is proposed. The estimates of the proposed approach are in good agreement with values of viral loads of well-known diseases from the literature. The quanta emission rates of an asymptomatic SARS-CoV-2 infected subject, with a viral load in the mouth of 108 copies mL-1, were 10.5 quanta h-1 and 320 quanta h-1 for breathing and speaking respiratory activities, respectively, at rest. In the case of light activity, the values would increase to 33.9 quanta h-1 and 1.03x103 quanta h-1, respectively. The findings in terms of quanta emission rates were then adopted in infection risk models to demonstrate its application by evaluating the number of people infected by an asymptomatic SARS-CoV-2 subject in Italian indoor microenvironments before and after the introduction of virus containment measures. The results obtained from the simulations clearly highlight that a key role is played by proper ventilation in containment of the virus in indoor environments.",4/17/2020,"['Department of Civil and Mechanical Engineering, University of Cassino and Southern Lazio, Cassino, Italy', 'International Laboratory for Air Quality and Health, Queensland University of Technology, Brisbane, Australia']","eading to a R0 (among the 282 customers) of 3.52, systems are adopted, but the R0 is still higher than 1 (R0=3.40)","3.52, 3.4",,,
Time-variant strategies for optimizing the performance of non-pharmaceutical interventions (NPIs) in protecting lives and livelihoods during the COVID-19 pandemic,10.1101/2020.04.13.20063248,"A stochastic Individual Contact Model (ICM) using SIR compartments allowing for time-variant parameters was used to simulate 100 non-pharmaceutical intervention (NPI) strategies and exit trajectories for a hypothetical population, and to collect epidemiological and non-epidemiological outcomes to measure the performance of these strategies over the course of a period of intervention (up to six months) for a total duration of one-year to allow the full implications of the strategy and endgame to manifest. We find that variations in the time dimension and intensity of various strategies can have vastly different performance outcomes: (i) the timing of NPIs can 'shrink the area under the curve' (cumulative infections) not just 'flatten the curve'; (ii) prolonged lockdowns have diminishing margins of returns; (iii) smooth, submaximal lockdowns perform better than pulsatile lockdowns; and (iv) the efficiency of various strategies incorporating both epidemiological and non-epidemiological outcomes vary substantially. Most sobering, none of the simulated strategies allow for an 'acceptable' path to exit within six months due to very large gaps in health system capacity.",4/17/2020,"['Quanticlear Solutions', 'Ministry of Health, Malaysia']",Implied R0 2.7,2.7,,,
The Estimated Time-Varying Reproduction Numbers during the Ongoing Epidemic of the Coronavirus Disease 2019 (COVID-19) in China,10.1101/2020.04.11.20061838,"Background: How could we anticipate the progression of the ongoing epidemic of the coronavirus disease 2019 (COVID-19) in China? As a measure of transmissibility, we aimed to estimate concurrently the time-varying reproduction number over time during the COVID-19 epidemic in China. Methods: We extracted the epidemic data from the ""Tracking the Epidemic"" website of the Chinese Center for Disease Control and Prevention for the duration of January 19, 2020 and March 14, 2020. Then, we specified two plausible distributions of serial interval to apply the novel estimation method implemented in the incidence and EpiEstim packages to the data of daily new confirmed cases for robustly estimating the time-varying reproduction number in the R software. Results: The epidemic curve of daily new confirmed cases in China peaked around February 4-6, 2020, and then declined gradually, except the very high peak on February 12, 2020 owing to the added clinically diagnosed cases of the Hubei Province. Under two specified plausible scenarios for the distribution of serial interval, both curves of the estimated time-varying reproduction numbers fell below 1.0 around February 17-18, 2020. Finally, the COVID-19 epidemic in China abated around March 7-8, 2020, indicating that the prompt and aggressive control measures of China were effective. Conclusion: Seeing the estimated time-varying reproduction number going downhill speedily was more informative than looking for the drops in the daily number of new confirmed cases during an ongoing epidemic of infectious disease. We urged public health authorities and scientists to estimate time-varying reproduction numbers routinely during an epidemic of infectious diseases and to report them daily to the public until the end of the epidemic.",4/17/2020,['International-Harvard Statistical Consulting Company'],"China such as 2.24 (95% confidence interval [CI]: 1.96−2.55)−3.58 (95% CI: 2.89−4.39), 6 2.2 (95% CI: 1.4−3.9), 7 2.6 (uncertainty range: 1.5−3.5), 8 2.68 (95% CrI: 2.47−2.86), 9 1.4−2.5 (WHO), 10 2.0−3.3, 10 2.2 (90% CI: 1.4−3.8), 10 6.47 (95% CI: 5.71−7.23), 10 3.11 (90% It is made available under a CC-BY-NC-ND 4.0 International license . (which was not certified by peer review) is the author/funder, who has granted medRxiv a license to display the preprint in perpetuity. medRxiv preprint doi: https://doi.org/10.1101/2020.04.11.20061838.this version posted May 13, 2020. The copyright holder for this preprint 10 CI: 2.39−4.13), 10 and 2.0.1",,,!!!,
An SEIR Model for Assessment of Current COVID-19 Pandemic Situation in the UK,10.1101/2020.04.12.20062588,"The ongoing COVID-19 pandemic spread to the UK in early 2020 with the first few cases being identified in late January. A rapid increase in confirmed cases started in March, and the number of infected people is however unknown, largely due to the rather limited testing scale. A number of reports published so far reveal that the COVID-19 has long incubation period, high fatality ratio and non-specific symptoms, making this novel coronavirus far different from common seasonal influenza. In this note, we present a modified SEIR model which takes into account the time lag effect and probability distribution of model states. Based on the proposed model, it is estimated that the actual total number of infected people by 1 April in the UK might have already exceeded 610,000. Average fatality rates under different assumptions at the beginning of April 2020 are also estimated. Our model also reveals that the R0 value is between 7.5-9 which is much larger than most of the previously reported values. The proposed model has a potential to be used for assessing future epidemic situations under different intervention strategies.",4/17/2020,['University of Leeds'],Our model also reveals that the R0 value is between 7.5–9 which is much larger than most of the previously reported values,8.25,,,
"Model calibration, nowcasting, and operational prediction of the COVID-19 pandemic",10.1101/2020.04.14.20065227,"We present a simple operational nowcasting/forecasting scheme based on a joint state/parameter estimate of the COVID-19 epidemic at national or regional scale, performed by assimilating the time series of reported daily death numbers into a simple SEIR model. This system generates estimates of the current reproductive rate, Rt, together with predictions of future daily deaths and clearly outperforms a number of alternative forecasting systems that have been presented recently. Our current (14th April 2020) estimates for Rt are, respectively, UK 0.49 (0.0 - 1.02), Spain 0.55 (0.33 - 0.77), Italy 0.90 (0.74 - 1.06) and France 0.67 (0.40 - 0.94) (mean and 95% credible intervals). Thus, we believe that the epidemics have been successfully suppressed in each of these countries, with high probability. Our approach is trivial to set up for any region and generates results in a few minutes on a laptop. We believe it would be straightforward to set up equivalent frameworks using more complex and realistic models, and hope that some experts in the field of epidemiological modelling will consider investigating this approach further.",4/17/2020,['Blue Skies Research Ltd'],"The model parameters in these simulations included an R0 parameter of 2.4, The mean posterior estimate for R0 we obtained from calibrating to this data
set is 3.5","2.4, 3.5",,,
